e_power,coefficient,nD,nM,nMprime,nF,argument
0,5.128189,0,0,0,1,F
0,0.280606,0,0,1,1,M' + F
0,0.277693,0,0,1,-1,M' - F
0,0.173238,2,0,0,-1,2D - F
0,0.055413,2,0,-1,1,2D + F - M'
0,0.046272,2,0,-1,-1,2D - F - M'
0,0.032573,2,0,0,1,2D + F
0,0.017198,0,0,2,1,2M' + F
0,0.009267,2,0,1,-1,2D + M' - F
0,0.008823,0,0,2,-1,2M' - F
1,0.008247,2,-1,0,-1,2D - M - F
0,0.004323,2,0,-2,-1,2D - F - 2M'
0,0.0042,2,0,1,1,2D + F + M'
1,0.003372,-2,-1,0,1,F - M - 2D
1,0.002472,2,-1,-1,1,2D + F - M - M'
1,0.002222,2,-1,0,1,2D + F - M
1,0.002072,2,-1,-1,-1,2D - F - M - M'
1,0.001877,0,-1,1,1,F - M + M'
0,0.001828,4,0,-1,-1,4D - F - M'
1,-0.001803,0,1,0,1,F + M
0,-0.00175,0,0,0,3,3F
1,0.00157,0,-1,1,-1,M' - M - F
0,-0.001487,1,0,0,1,F + D
1,-0.001481,0,1,1,1,F + M + M'
1,0.001417,0,-1,-1,1,F - M - M'
1,0.00135,0,-1,0,1,F - M
0,0.00133,-1,0,0,1,F - D
0,0.001106,0,0,3,1,F + 3M'
0,0.00102,4,0,0,-1,4D - F
0,0.000833,4,0,-1,1,F + 4D - M'
0,0.000781,0,0,1,-3,M' - 3F
0,0.00067,4,0,-2,1,F + 4D - 2M'
0,0.000606,2,0,0,-3,2D - 3F
0,0.000597,2,0,2,-1,2D + 2M' - F
1,0.000492,2,-1,1,-1,2D + M' - M - F
0,0.00045,-2,0,2,-1,2M' - F - 2D
0,0.000439,0,0,3,-1,3M' - F
0,0.000423,2,0,2,1,F + 2D + 2M'
0,0.000422,2,0,-3,-1,2D - F - 3M'
1,-0.000367,2,1,-1,1,M + F + 2D - M'
1,-0.000353,2,1,0,1,M + F + 2D
0,0.000331,4,0,0,1,F + 4D
1,0.000317,2,-1,1,1,2D + F - M + M'
2,0.000306,2,-2,0,-1,2D - 2M - F
0,-0.000283,0,0,1,3,M' + 3F
