e_power,coefficient,nD,nM,nMprime,nF,argument
0,6.28875,0,0,1,0,M'
0,1.274018,2,0,-1,0,2D - M'
0,0.658309,2,0,0,0,2D
0,0.213616,0,0,2,0,2M'
1,-0.185596,0,1,0,0,M
0,-0.114336,0,0,0,2,2F
0,0.058793,2,0,-2,0,2D - 2M'
1,0.057212,2,-1,-1,0,2D - M - M'
0,0.05332,2,0,1,0,2D + M'
1,0.045874,2,-1,0,0,2D - M
1,0.041024,0,-1,1,0,M' - M
0,-0.034718,1,0,0,0,D
1,-0.030465,0,1,1,0,M + M'
0,0.015326,2,0,0,-2,2D - 2F
0,-0.012528,0,0,1,2,2F + M'
0,-0.01098,0,0,-1,2,2F - M'
0,0.010674,4,0,-1,0,4D - M'
0,0.010034,0,0,3,0,3M'
0,0.008548,4,0,-2,0,4D - 2M'
1,-0.00791,2,1,-1,0,M - M' + 2D
1,-0.006783,2,1,0,0,2D + M
0,0.005162,-1,0,1,0,M' - D
1,0.005,1,1,0,0,M + D
1,0.004049,2,-1,1,0,M' - M + 2D
0,0.003996,2,0,2,0,2M' + 2D
0,0.003862,4,0,0,0,4D
0,0.003665,2,0,-3,0,2D - 3M'
1,0.002695,0,-1,2,0,2M' - M
0,0.002602,-2,0,1,-2,M' - 2F - 2D
1,0.002396,2,-1,-2,0,2D - M - 2M'
0,-0.002349,1,0,1,0,M' + D
2,0.002249,2,-2,0,0,2D - 2M
1,-0.002125,0,1,2,0,2M' + M
2,-0.002079,0,2,0,0,2M
2,0.002059,2,-2,-1,0,2D - M' - 2M
0,-0.001773,2,0,1,-2,M' + 2D - 2F
0,-0.001595,2,0,0,2,2F + 2D
1,0.00122,4,-1,-1,0,4D - M - M'
0,-0.00111,0,0,2,2,2M' + 2F
0,0.000892,-3,0,1,0,M' - 3D
1,-0.000811,2,1,1,0,M + M' + 2D
1,0.000761,4,-1,-2,0,4D - M - 2M'
2,0.000717,0,-2,1,0,M' - 2M
2,0.000704,-2,-2,1,0,M' - 2M - 2D
1,0.000693,2,1,-2,0,M - 2M' + 2D
1,0.000598,2,-1,0,-2,2D - M - 2F
0,0.00055,4,0,1,0,M' + 4D
0,0.000538,0,0,4,0,4M'
1,0.000521,4,-1,0,0,4D - M
0,0.000486,-1,0,2,0,2M' - D
