e_power,coefficient,nD,nM,nMprime,nF,argument
0,0.051818,0,0,1,0,M'
0,0.009531,2,0,-1,0,2D - M'
0,0.007843,2,0,0,0,2D
0,0.002824,0,0,2,0,2M'
0,0.000857,2,0,1,0,2D + M'
1,0.000533,2,-1,0,0,2D - M
1,0.000401,2,-1,-1,0,2D - M - M'
1,0.00032,0,-1,1,0,M' - M
0,-0.000271,1,0,0,0,D
1,-0.000264,0,1,1,0,M + M'
0,-0.000198,0,0,-1,2,2F - M'
0,0.000173,0,0,3,0,3M'
0,0.000167,4,0,-1,0,4D - M'
1,-0.000111,0,1,0,0,M
0,0.000103,4,0,-2,0,4D - 2M'
0,-8.4e-05,-2,0,2,0,2M' - 2D
1,-8.3e-05,2,1,0,0,2D + M
0,7.9e-05,2,0,2,0,2D + 2M'
0,7.2e-05,4,0,0,0,4D
1,6.4e-05,2,-1,1,0,2D - M + M'
1,-6.3e-05,2,1,-1,0,2D + M - M'
1,4.1e-05,1,1,0,0,M + D
1,3.5e-05,0,-1,2,0,2M' - M
0,-3.3e-05,-2,0,3,0,3M' - 2D
0,-3e-05,1,0,1,0,M' + D
0,-2.9e-05,-2,0,0,2,2F - 2D
1,-2.9e-05,0,1,2,0,2M' + M
2,2.6e-05,2,-2,0,0,2D - 2M
0,-2.3e-05,-2,0,1,2,2F - 2D + M'
1,1.9e-05,4,-1,-1,0,4D - M - M'
